#timestamp,tobii_system_timestamp,toii_device_timestamp,gaze_x,gaze_y,pupil_diameter,left_gaze_origin_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_point_in_user_coordinate_system,left_gaze_point_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_x,left_gaze_y,left_pupil_validity,left_pupil,right_gaze_origin_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_point_in_user_coordinate_system,right_gaze_point_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_x,right_gaze_y,right_pupil_validity,right_pupil
1645172501523.8599,9375093078,1780064508,821.276693,503.690976,2.259453,1,-32.089024,45.106419,773.818237,-47.966228,191.404510,0.544577,0.393623,0.407401,0.426276,1,2.237946,1,32.714169,45.917118,773.857117,-26.886486,195.379715,0.425430,0.392270,0.448096,0.413209,1,2.280960
1645172501536.122,9375104181,1780075611,810.448923,485.728812,2.258408,1,-32.082607,45.172115,773.631836,-49.588928,192.825348,0.544579,0.393435,0.404268,0.421606,1,2.243546,1,32.685211,45.939892,773.721985,-31.106298,203.066498,0.425472,0.392194,0.439949,0.387942,1,2.273270
1645172501547.31,9375115284,1780086714,812.546854,476.722080,2.244247,1,-32.037537,45.162716,773.248596,-49.134212,193.604294,0.544525,0.393403,0.405146,0.419045,1,2.242203,1,32.689915,45.929680,773.258606,-30.428988,206.854340,0.425427,0.392152,0.441257,0.375492,1,2.246292
1645172501557.74,9375126387,1780097817,806.386757,480.118221,2.234840,1,-31.997805,45.160652,773.138672,-50.097061,193.566971,0.544461,0.393393,0.403288,0.419168,1,2.238373,1,32.738930,45.922371,773.130310,-32.790066,205.169708,0.425327,0.392152,0.436699,0.381029,1,2.231308
1645172501569.192,9375137490,1780108920,812.880535,482.013667,2.242332,1,-31.980865,45.162445,773.131042,-47.633568,194.888168,0.544430,0.393388,0.408043,0.414825,1,2.241974,1,32.771164,45.924397,773.122925,-31.749605,202.887405,0.425267,0.392146,0.438707,0.388531,1,2.242691
1645172501580.355,9375148593,1780120023,812.910290,481.539989,2.239746,1,-31.956373,45.177406,773.281616,-47.520638,195.902237,0.544373,0.393373,0.408261,0.411492,1,2.237503,1,32.819328,45.945663,773.295593,-31.846493,202.113556,0.425192,0.392119,0.438520,0.391075,1,2.241989
1645172501591.154,9375159696,1780131126,817.555132,479.643291,2.236168,1,-31.941566,45.184017,773.266357,-46.466244,196.191635,0.544347,0.393355,0.410297,0.410540,1,2.236893,1,32.843761,45.950932,773.276611,-30.394600,202.785858,0.425146,0.392104,0.441323,0.388865,1,2.235443
1645172501602.655,9375170801,1780142230,818.504963,481.467462,2.243134,1,-31.926674,45.193092,773.358032,-46.328316,196.490494,0.544313,0.393346,0.410563,0.409558,1,2.240662,1,32.869705,45.955189,773.341492,-30.020000,201.561996,0.425103,0.392103,0.442046,0.392888,1,2.245605
1645172501613.513,9375181904,1780153333,818.019333,480.452067,2.245056,1,-31.930473,45.198051,773.440857,-44.629005,197.787415,0.544314,0.393345,0.413844,0.405295,1,2.231369,1,32.888279,45.952385,773.438904,-31.981363,200.779953,0.425077,0.392124,0.438260,0.395458,1,2.258743
1645172501624.365,9375193007,1780164436,820.595942,470.607591,2.232620,1,-31.938524,45.203522,773.596802,-43.021317,199.117645,0.544317,0.393354,0.416947,0.400923,1,2.220322,1,32.899616,45.947598,773.619263,-32.198727,204.441330,0.425070,0.392162,0.437840,0.383423,1,2.244919
1645172501635.7778,9375204110,1780175539,819.931784,465.292382,2.219582,1,-31.957951,45.209736,773.782593,-41.947758,198.032852,0.544338,0.393366,0.419020,0.404488,1,2.223160,1,32.900047,45.946060,773.753662,-33.630657,208.221100,0.425080,0.392186,0.435076,0.370999,1,2.216003
1645172501646.939,9375215213,1780186642,819.291086,464.954424,2.216255,1,-31.969101,45.214451,773.921631,-44.439621,195.840057,0.544348,0.393374,0.414209,0.411696,1,2.231583,1,32.895409,45.938351,773.918030,-31.484516,210.585297,0.425101,0.392228,0.439219,0.363228,1,2.200928
1645172501657.7,9375226316,1780197745,816.767492,472.147894,2.228394,1,-31.985790,45.214275,774.066956,-46.133675,194.232376,0.544368,0.393395,0.410939,0.416981,1,2.241043,1,32.889130,45.927597,774.089417,-31.152159,208.545578,0.425126,0.392279,0.439861,0.369933,1,2.215744
1645172501668.8582,9375237419,1780208848,814.476557,478.493160,2.232697,1,-32.006485,45.223934,774.244202,-48.463554,192.709259,0.544392,0.393396,0.406441,0.421987,1,2.230408,1,32.877831,45.920509,774.221741,-30.058395,206.851364,0.425158,0.392316,0.441972,0.375502,1,2.234985
1645172501680.321,9375248522,1780219951,819.071960,476.205361,2.232300,1,-32.043163,45.224541,774.386963,-46.154995,193.839218,0.544449,0.393415,0.410898,0.418273,1,2.230148,1,32.864532,45.921482,774.391724,-29.887363,206.881424,0.425195,0.392338,0.442302,0.375403,1,2.234451
1645172501690.54,9375259627,1780231055,815.519085,473.839474,2.233391,1,-32.062744,45.230953,774.510254,-46.381271,194.844360,0.544476,0.393417,0.410461,0.414969,1,2.220764,1,32.865593,45.930691,774.532410,-31.578150,207.075897,0.425204,0.392336,0.439038,0.374764,1,2.246017
1645172501702.678,9375270730,1780242158,812.974291,473.704147,2.237534,1,-32.069641,45.225502,774.477600,-48.220150,195.518875,0.544491,0.393426,0.406911,0.412752,1,2.220825,1,32.859676,45.927750,774.508179,-31.112421,206.469986,0.425213,0.392339,0.439937,0.376755,1,2.254242
1645172501713.715,9375281833,1780253261,817.093563,475.937766,2.237144,1,-32.079807,45.223030,774.424927,-46.136967,195.439728,0.544514,0.393424,0.410932,0.413012,1,2.213348,1,32.847210,45.926891,774.445679,-30.972935,205.416580,0.425231,0.392332,0.440207,0.380218,1,2.260941
1645172501724.751,9375292936,1780264364,820.158634,478.371102,2.240509,1,-32.083553,45.210110,774.266296,-44.537170,194.115906,0.544533,0.393433,0.414021,0.417363,1,2.220581,1,32.832638,45.916683,774.263916,-30.918858,205.506638,0.425244,0.392331,0.440311,0.379922,1,2.260437
1645172501735.942,9375304039,1780275467,822.922955,480.281353,2.238182,1,-32.090477,45.181980,774.049072,-42.076672,193.605118,0.544562,0.393470,0.418771,0.419042,1,2.220383,1,32.824757,45.906647,774.102478,-31.887783,205.048828,0.425246,0.392332,0.438441,0.381427,1,2.255981
1645172501747.057,9375315142,1780286570,817.771797,482.822442,2.238495,1,-32.087715,45.163727,773.862854,-43.480469,192.484344,0.544571,0.393489,0.416061,0.422726,1,2.219894,1,32.808430,45.889294,773.879578,-33.263489,204.881195,0.425258,0.392342,0.435785,0.381978,1,2.257095
1645172501757.752,9375326245,1780297673,816.017189,481.726348,2.233612,1,-32.096008,45.144657,773.659058,-43.638618,192.576675,0.544602,0.393506,0.415756,0.422423,1,2.221176,1,32.779713,45.873440,773.653748,-34.052097,205.344620,0.425294,0.392348,0.434262,0.380454,1,2.246048
1645172501768.966,9375337349,1780308776,814.621038,478.974974,2.226135,1,-32.110668,45.125000,773.508911,-43.444290,193.616669,0.544641,0.393532,0.416131,0.419005,1,2.215958,1,32.761051,45.867062,773.542786,-34.999783,205.699692,0.425319,0.392347,0.432433,0.379287,1,2.236313
1645172501780.3691,9375348453,1780319880,830.435171,472.736496,2.227333,1,-32.097675,45.126450,773.374207,-40.183414,196.676071,0.544627,0.393510,0.422426,0.408948,1,2.215302,1,32.751682,45.868431,773.378601,-29.727610,205.803452,0.425324,0.392320,0.442611,0.378946,1,2.239365
1645172501791.414,9375359556,1780330983,865.220604,464.646024,2.224487,1,-32.050938,45.140572,773.390442,-32.684547,200.230545,0.544539,0.393478,0.436902,0.397264,1,2.208588,1,32.771286,45.875416,773.376526,-18.456774,206.351181,0.425287,0.392303,0.464369,0.377146,1,2.240387
1645172501802.492,9375370659,1780342086,914.683714,456.235135,2.226364,1,-31.978571,45.157703,773.187866,-19.210194,201.219162,0.544421,0.393407,0.462915,0.394015,1,2.209244,1,32.798714,45.873363,773.198975,-5.241707,209.627258,0.425223,0.392282,0.489881,0.366377,1,2.243484
1645172501813.515,9375381762,1780353189,936.924849,453.306574,2.228653,1,-31.933060,45.165344,773.179932,-14.309153,200.688202,0.544338,0.393388,0.472376,0.395760,1,2.213852,1,32.837940,45.871483,773.183838,1.858196,211.643127,0.425150,0.392285,0.503587,0.359751,1,2.243454
1645172501824.1921,9375392865,1780364292,934.653168,458.599162,2.238739,1,-31.925949,45.152332,772.925537,-13.937453,198.436798,0.544344,0.393383,0.473094,0.403160,1,2.224121,1,32.828705,45.858387,772.981995,0.260810,211.210876,0.425151,0.392288,0.500503,0.361171,1,2.253357
1645172501835.743,9375403968,1780375395,934.514122,456.595534,2.245232,1,-31.938538,45.141518,772.728455,-13.336354,199.628510,0.544383,0.393382,0.474254,0.399243,1,2.230606,1,32.804466,45.847366,772.813232,-0.415331,211.035156,0.425182,0.392290,0.499198,0.361749,1,2.259857
