participant,document,eda_max,eda_min,eda_std,eda_mean,hr_max,hr_min,hr_std,hr_mean,bvp_max,bvp_min,bvp_std,bvp_mean,temp_max,temp_min,temp_std,temp_mean
P16,D0,0.551138,0.479362,0.02018205357872986,0.510121352484472,106.08,75.63,7.511319326719529,87.24968944099378,190.79,-125.16,11.591667628032274,0.028231754658385167,26.91,25.57,0.39060914108143296,26.298447204968955
P16,D1,0.5819,0.516532,0.011543880121931699,0.5492328995535708,113.37,77.38,13.347377865393488,91.65678571428573,15.06,-9.47,1.598254352917281,0.00325892857142858,27.57,27.07,0.1360728472205937,27.335714285714317
P16,D2,0.730915,0.505333,0.04105478312236434,0.5655118232323233,108.07,88.0,5.166900407663861,98.21464646464645,147.61,-125.88,15.450176601305518,0.0053835227272728955,27.99,27.63,0.10042436488356922,27.799898989899077
P16,D3,0.479629,0.378373,0.029705308023418506,0.4267567785714273,102.67,82.32,4.5426808826150165,87.50333333333332,195.29,-134.76,10.297324326198181,0.0011019345238095883,29.07,28.55,0.1459046008958407,28.818999999999996
P16,D4,0.3835,0.334795,0.01149084065977315,0.3526021465517244,96.57,87.93,2.2518103147216015,93.039448275862,6.46,-5.49,0.7514695412929606,0.0005344827586206927,29.39,29.11,0.0775800999456015,29.248344827586266
P16,D5,0.360429,0.334795,0.005472166203291732,0.3442743011811033,114.82,100.12,3.443491274633957,106.00401574803148,152.76,-141.77,9.231531130827245,0.000434301181102295,29.61,29.41,0.05836688864344254,29.508740157480275
P16,D6,0.575758,0.443741,0.030452846929435572,0.4922161149425295,128.43,76.48,15.716697406694463,96.93695402298847,126.36,-204.08,10.645169466984127,-0.06115122126436765,30.09,30.01,0.02014772204773714,30.052701149425122
P16,D7,0.509109,0.418107,0.021449620443663605,0.45115122714285494,127.37,89.68,10.682461083384746,103.95817142857152,75.6,-90.21,4.650616901225261,0.0014651785714285693,30.17,30.05,0.028281380820674978,30.120857142857187
P16,D8,0.459122,0.386064,0.017373777593505797,0.4083788059845566,105.78,96.38,2.7422582793208465,102.47610038610041,145.27,-133.51,5.5553582826277825,0.0006937741312741478,30.29,30.15,0.028367793150154166,30.220540540540323
P16,D9,0.395036,0.350176,0.007472105788060711,0.3615143582677142,122.12,97.6,7.862618376843516,110.96161417322833,162.7,-123.93,6.883322671503055,-0.000727116141732315,30.31,30.23,0.015041620238432345,30.276456692913847
P16,D10,0.455277,0.404008,0.009685809645740867,0.42011071610169526,144.43,137.68,1.5440746833307957,142.33457627118645,171.76,-193.11,20.718473802809193,0.041904131355932045,30.29,30.23,0.013025537345991297,30.262372881355986
P16,D11,0.434769,0.406571,0.006802523875401724,0.42022346969696966,138.18,127.8,3.23023195527016,130.43212121212125,69.62,-69.49,9.802721253399467,-0.002173295454545421,30.29,30.25,0.010216259781052162,30.264545454545445
P16,D12,0.434769,0.402726,0.008942821338857038,0.41551278571428557,129.62,112.53,5.217737488104738,121.27642857142857,102.38,-79.3,10.45590187024239,-0.005926339285714059,30.27,30.23,0.0106476877063994,30.25333333333335
P16,D13,0.475784,0.396318,0.017068060026276782,0.42316724568965514,115.08,100.07,4.902703974476026,107.82913793103445,109.95,-85.97,9.973865539259775,0.0016352370689655565,30.27,30.21,0.013098772745563215,30.252241379310348
P08,D0,2.412826,0.430924,0.1330390084277244,0.5428776445578233,113.62,81.0,11.566939089866247,101.26952380952375,10.08,-6.42,0.8346898121408715,0.004553571428571407,23.43,21.65,0.5086678051025092,22.634421768707504
P08,D1,0.397599,0.339922,0.016168480815536818,0.368753475000001,111.27,102.67,2.5377627254014428,107.36088888888882,2.45,-2.02,0.5532453329503275,0.00274131944444444,24.33,23.81,0.14421587038254496,24.071333333333314
P08,D2,0.346331,0.296344,0.012356200847473263,0.3189701866666669,116.4,105.33,3.8856051182711715,111.95160000000001,2.03,-2.17,0.5571534622637032,0.0018604166666666747,24.71,24.41,0.0863855142900289,24.55746666666669
P08,D3,0.197651,0.124594,0.01736473216797513,0.1463596797385619,135.95,104.2,10.790011320978559,119.23287581699347,7.44,-3.11,0.6436421289359769,-0.001988357843137255,25.59,25.09,0.14093380172120917,25.35202614379085
P08,D4,0.139974,0.120748,0.003728109474830657,0.1280561658163264,126.85,103.22,7.441723098032387,119.12836734693883,22.24,-18.43,1.799275055661637,-0.0003475765306122656,25.81,25.59,0.054104364123744364,25.707040816326614
P08,D5,0.137411,0.125875,0.0017177735066711884,0.13222926704545437,112.17,101.28,2.855852043791705,104.0039772727273,2.31,-2.76,0.6271017577173996,0.00233487215909091,25.99,25.83,0.042466678742500825,25.897499999999944
P08,D6,0.433487,0.295062,0.03448125357741049,0.3602222100000011,184.68,94.12,21.856067720357842,133.68733333333338,316.46,-190.52,13.811713663219594,0.0669260416666665,27.35,27.07,0.07602509616984955,27.216466666666644
P08,D7,0.295062,0.232258,0.016733361115807577,0.26738315702479326,175.22,127.32,16.61284835381932,145.00619834710744,14.02,-7.53,0.9752699467465925,0.002193956611570229,27.47,27.37,0.025895061599042767,27.418347107438162
P08,D8,0.25661,0.207905,0.012094786598446625,0.23376685080645143,171.32,102.53,25.267126772231823,132.8139247311828,2.84,-3.44,0.5874484809793463,-0.0007258064516129012,27.49,27.41,0.014506752979057319,27.461290322580847
P08,D9,0.305316,0.193806,0.028763176943300908,0.2413068850267376,149.82,111.22,11.174277095899798,133.64695187165776,11.26,-9.14,0.991894268295019,-0.0006074532085561578,27.51,27.43,0.01696557762612356,27.478288770053524
P08,D10,0.314288,0.24892,0.012438303600563416,0.27656212109375033,123.18,110.28,3.8390787042751615,118.17218750000002,342.25,-148.9,20.857352182619017,-0.0014501953125000276,27.47,27.41,0.014169838168641218,27.44999999999995
