#timestamp,tobii_system_timestamp,gaze_x,gaze_y,pupil_diameter,left_gaze_x,left_gaze_y,left_pupil,right_gaze_x,right_gaze_y,right_pupil
1644831970668.942,146299136010,718.556271,464.051789,2.56958,0.359907,0.39118,2.535187,0.388589,0.38224,2.603973
1644831970680.9412,146299147112,658.98222,386.352307,2.572624,0.328185,0.324996,2.527618,0.358255,0.318924,2.61763
1644831970690.94,146299158215,627.564383,335.869771,2.571884,0.311554,0.285522,2.524109,0.342159,0.27426,2.619659
1644831970701.942,146299169318,599.052114,301.10575,2.577309,0.299542,0.26203,2.514465,0.324471,0.239813,2.640152
1644831970713.942,146299180422,576.265898,273.497388,2.573975,0.286535,0.237305,2.512344,0.313742,0.218524,2.635605
1644831970723.9412,146299191525,561.647873,261.013404,2.582047,0.280173,0.227379,2.516769,0.304877,0.207644,2.647324
1644831970735.942,146299202628,553.879824,258.1853,2.570656,0.276957,0.223538,2.508286,0.300001,0.206771,2.633026
1644831970746.9438,146299213731,550.851374,257.059067,2.580841,0.275898,0.225371,2.512863,0.297905,0.203061,2.648819
1644831970757.944,146299224834,552.951965,259.109187,2.585594,0.279009,0.227656,2.513901,0.296982,0.204193,2.657288
1644831970768.951,146299235937,552.172537,259.91917,2.585846,0.280148,0.226759,2.513885,0.295031,0.206439,2.657806
1644831970780.942,146299247041,552.438812,261.351344,2.58831,0.281026,0.225786,2.520599,0.294431,0.2098,2.656021
1644831970790.94,146299258144,553.031759,266.128045,2.585747,0.281423,0.228379,2.516174,0.294652,0.215167,2.655319
1644831970801.942,146299269248,553.240299,264.209971,2.591385,0.281954,0.228172,2.525986,0.294338,0.212178,2.656784
1644831970813.944,146299280351,555.059109,266.913334,2.586418,0.282874,0.230776,2.516861,0.295313,0.21408,2.655975
1644831970823.941,146299291454,555.630569,266.37632,2.585442,0.283449,0.231812,2.516678,0.295332,0.212149,2.654205
1644831970835.9412,146299302557,557.868719,268.29569,2.588051,0.285385,0.233569,2.519516,0.295728,0.21359,2.656586
1644831970846.941,146299313660,555.384951,266.64345,2.59362,0.285165,0.232322,2.526627,0.293361,0.212083,2.660614
1644831970856.939,146299324763,554.853859,266.354817,2.590652,0.285571,0.23215,2.524307,0.292402,0.211775,2.656998
1644831970868.9412,146299335866,556.245747,264.486399,2.592491,0.28654,0.230763,2.523926,0.292882,0.210048,2.661057
1644831970880.969,146299346969,559.691019,265.283149,2.593735,0.289608,0.229933,2.522293,0.293404,0.212206,2.665176
1644831970890.942,146299358073,559.556923,263.405988,2.598122,0.289476,0.228614,2.523727,0.293396,0.210396,2.672516
1644831970901.942,146299369176,557.350731,262.919167,2.600616,0.289311,0.227629,2.527924,0.291263,0.21057,2.673309
1644831970913.943,146299380280,556.00359,262.453035,2.602486,0.289047,0.23041,2.531509,0.290124,0.207011,2.673462
1644831970923.941,146299391383,551.009989,254.512569,2.603325,0.286377,0.224357,2.53212,0.287592,0.199831,2.67453
1644831970935.941,146299402486,544.582472,239.853331,2.598694,0.281725,0.214279,2.524704,0.285549,0.185477,2.672684
1644831970946.941,146299413589,537.671499,218.460122,2.600441,0.276654,0.194365,2.526978,0.28342,0.169735,2.673904
1644831970956.941,146299424692,536.363382,211.266902,2.604317,0.275941,0.187395,2.528778,0.28277,0.164717,2.679855
1644831970968.943,146299435795,538.546114,210.845071,2.607491,0.277289,0.186782,2.527802,0.283696,0.164627,2.68718
1644831970979.941,146299446899,538.347702,204.933143,2.613144,0.275713,0.181611,2.53421,0.285065,0.159945,2.692078
1644831970990.939,146299458002,537.990332,205.668041,2.616257,0.276231,0.181477,2.540085,0.284175,0.161303,2.692429
1644831971001.939,146299469105,536.233921,206.427759,2.621277,0.275156,0.182804,2.54808,0.283421,0.161242,2.694473
1644831971012.941,146299480208,534.323845,208.298063,2.619957,0.276312,0.185785,2.545822,0.280275,0.161379,2.694092
1644831971023.941,146299491311,535.56015,206.558034,2.619957,0.276465,0.185549,2.545807,0.28141,0.158714,2.694107
1644831971034.942,146299502414,536.17012,204.005581,2.622635,0.277993,0.183737,2.543015,0.280517,0.156273,2.702255
1644831971046.9412,146299513517,535.810061,204.897773,2.621887,0.276481,0.184039,2.54187,0.281655,0.157458,2.701904
1644831971056.9429,146299524621,534.545517,203.278425,2.623001,0.275633,0.182813,2.542252,0.281185,0.155985,2.703751
1644831971068.94,146299535725,532.98666,202.967378,2.624031,0.274493,0.183458,2.542328,0.280701,0.154821,2.705734
1644831971079.952,146299546828,533.333044,199.494383,2.623688,0.274695,0.178833,2.53952,0.28086,0.153658,2.707855
1644831971090.941,146299557931,532.686481,199.763945,2.628693,0.273905,0.178094,2.543533,0.280977,0.154846,2.713852
1644831971101.9412,146299569034,532.538567,199.252778,2.628433,0.27326,0.1767,2.545181,0.281467,0.155388,2.711685
1644831971112.941,146299580137,522.701683,208.040366,2.593636,0.271667,0.178328,2.555984,0.272814,0.168406,2.631287
1644831971121.94,146299591240,518.790951,217.10549,2.586739,0.269214,0.188516,2.517578,0.271194,0.173327,2.655899
1644831971134.9758,146299602343,501.076727,221.397883,2.512337,0.269328,0.18948,2.491928,0.252627,0.179516,2.532745
1644831971144.942,146299613446,,,,0.26302,0.212587,2.278748,,,
1644831971155.942,146299624550,,,,,,,,,
1644831971166.939,146299635653,,,,,,,,,
1644831971178.631,146299646756,,,,,,,0.348548,-0.109446,2.244934
1644831971189.24,146299657860,,,,,,,0.348548,-0.109446,2.244934
1644831971200.79,146299668963,,,,,,,0.348548,-0.109446,2.244934
1644831971211.8052,146299680066,,,,,,,,,
